speaker	start	end	duration	text
SP2	134.992	136.348	1.356	già persa un po':
SP2	136.364	137.400	1.036	che andava: di:
SP2	137.444	138.572	1.128	c(io)è vivere la città
SP2	138.596	139.600	1.004	che adesso tutti quanti
SP2	139.600	141.000	1.400	che sta perdendo il lavoro
SP1	141.796	141.996	0.200	là
SP2	142.244	142.500	0.256	là
SP1	143.048	143.352	0.304	okay
SP1	143.804	144.004	0.200	ma
SP2	144.092	144.548	0.456	c(io)è tutti
SP1	144.200	144.452	0.252	c(io)è
SP2	144.604	145.332	0.728	tutti
