tu_id	speaker	start	end	duration	include	variation	W:normalized_spaces	W:numbers	W:accents	W:non_jefferson	W:pauses_trim	W:prosodic_trim	W:moved_boundaries	W:switches	E:volume	E:pace	E:guess	E:overlap	E:overlap_mismatch	E:overlap_duration	E:unmatched_overlaps	T:shortpauses	T:metalinguistic	T:errors	T:linguistic	original	text	orthographic
12	SP3	20.88	21.72	0.84	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	3	ho detto okay	ho detto okay	ho detto okay
13	SP3	22.28	23.84	1.56	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	5	e ho fatto però praticamente	e ho fatto però praticamente	e ho fatto però praticamente
14	SP3	24.1	25.56	1.46	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	2	ho messo:	ho messo:	ho messo
15	SP3	25.64	28.06	2.42	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	11	tutto l- tutto il fondo della padella era pieno di olio	tutto l- tutto il fondo della padella era pieno di olio	tutto l- tutto il fondo della padella era pieno di olio
16	SP3	29.38	30.39	1.01	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	5	io volevo mettere un filo	io volevo mettere un filo	io volevo mettere un filo
17	SP3	30.39	31.54	1.15	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	4	sai per farle venire	sai per farle venire	sai per farle venire
18	SP3	31.54	32.78	1.24	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	2	mezzi tra:	mezzi tra:	mezzi tra
19	SP3	34.82	35.64	0.82	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	2	c(io)è cotti	c(io)è cotti	cioè cotti
20	SP3	35.76	36.944	1.184	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	3	nella padella unta	nella padella unta	nella padella unta
21	SP3	36.993	37.637	0.644	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	invece	invece	invece
22	SP3	38.84	39.8	0.96	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	6	i primi sono venuti un po'	i primi sono venuti un po'	i primi sono venuti un po'
23	SP3	39.8	41.281	1.481	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	1	0	3	deep fried quasi ((ride))	deep fried quasi {ride}	deep fried quasi {ride}
24	SP1	43.293	43.68	0.387	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	1	0	0	((tossisce))	{tossisce}	{tossisce}
25	SP1	43.82	45.66	1.84	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	6	beh oggi abbiamo fatto colazione con	beh oggi abbiamo fatto colazione con	beh oggi abbiamo fatto colazione con
26	SP1	45.66	47.38	1.72	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	4	pan- pancake con nutella	pan- pancake con nutella	pan- pancake con nutella
27	SP3	47.6	49.52	1.92	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	7	è rimasto un altro pancake se vuoi	è rimasto un altro pancake se vuoi	è rimasto un altro pancake se vuoi
28	SP2	49.555	50.719	1.164	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	uh [xxxx]	uh [xxxx]	uh x
29	SP3	49.74	51.72	1.98	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	12	[mangiati tu il pan]cake che io mangio il gelato che ne dici?	[mangiati tu il pan]cake che io mangio il gelato che ne dici?	mangiati tu il pancake che io mangio il gelato che ne dici
30	SP1	53.056	54.7	1.644	True	False	0	0	0	0	0	0	0	0	False	False	False	False	True	31=0.769	False	0	0	0	7	(te lo tiro in) faccia sto pancake	(te lo tiro in) faccia sto pancake	te lo tiro in faccia sto pancake
31	SP2	53.174	53.943	0.769	True	False	0	0	0	0	0	0	0	0	False	False	False	False	True	30=0.769	False	0	0	0	1	stronzo	stronzo	stronzo
32	SP1	55.256	56.48	1.224	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	3	poi è rimasto	poi è rimasto	poi è rimasto
33	SP1	56.72	58.14	1.42	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	3	poi abbiamo mangiato	poi abbiamo mangiato	poi abbiamo mangiato
34	SP3	58.3	59.594	1.294	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	5	io [a pranzo ho esagerato]	io [a pranzo ho esagerato]	io a pranzo ho esagerato
35	SP1	58.35	59.587	1.237	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	[xxxxx nonna]	[xxxxx nonna]	x nonna
36	SP1	60.4	62.4	2.0	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	7	quattro gelati s'ha mangiato sto porc	quattro gelati s'ha mangiato sto porc	quattro gelati s' ha mangiato sto porc
37	SP3	62.412	63.912	1.5	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	5	quattro gelati non è ve-	quattro gelati non è ve-	quattro gelati non è ve-
38	SP3	63.94	66.575	2.635	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	7	xxxxxx abbiamo mangiato la stessa quantità di gelato	xxxxxx abbiamo mangiato la stessa quantità di gelato	x abbiamo mangiato la stessa quantità di gelato
39	SP1	67.16	68.394	1.234	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	6	tu ne hai mangiati di più	tu ne hai mangiati di più	tu ne hai mangiati di più
40	SP3	68.425	69.262	0.837	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	2	no roberto	no roberto	no roberto
41	SP1	69.544	70.925	1.381	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	6	hai mangiato il pan di stelle	hai mangiato il pan di stelle	hai mangiato il pan di stelle
42	SP1	70.95	72.344	1.394	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	5	hai mangiato quello al caramello	hai mangiato quello al caramello	hai mangiato quello al caramello
43	SP1	72.35	73.358	1.008	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	6	e ne hai mangiato un al[tro]	e ne hai mangiato un al[tro]	e ne hai mangiato un altro
44	SP3	73.16	74.453	1.293	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	7	[no no]n l'ho mangiato un altro	[no no]n l'ho mangiato un altro	no non l' ho mangiato un altro
45	SP3	75.3	77.253	1.953	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	10	ho man- perché noi abbiamo comprato quelli pan di st[elle]	ho man- perché noi abbiamo comprato quelli pan di st[elle]	ho man- perché noi abbiamo comprato quelli pan di stelle
46	SP1	77.005	78.637	1.632	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	7	[va be'] sei un [maiale hai mangiato]	[va be'] sei un [maiale hai mangiato]	va be' sei un maiale hai mangiato
47	SP3	77.632	78.637	1.005	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	3	[che erano buoni]	[che erano buoni]	che erano buoni
48	SP3	78.8	80.0	1.2	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	7	si pure tu sei un maiale però	si pure tu sei un maiale però	si pure tu sei un maiale però
49	SP1	80.02	82.6	2.58	True	False	0	0	0	0	0	0	0	0	False	False	False	False	True	50=0.937,51=0.626,52=0.410	True	0	0	0	10	hai [mangiato pure le salsi]cce e [un sacco di] friarielli	hai [mangiato pure le salsi]cce e [un sacco di] friarielli	hai mangiato pure le salsicce e un sacco di friarielli
50	SP3	80.184	81.121	0.937	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	3	[ti sto dicendo]	[ti sto dicendo]	ti sto dicendo
51	SP3	81.221	81.847	0.626	True	False	0	0	1	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	[perchè]	[perché]	perché
52	SP3	82.19	84.02	1.83	True	False	0	0	0	0	0	0	0	0	False	False	False	False	True	49=0.410	False	0	0	0	5	perché praticamente noi abbiamo comprato	perché praticamente noi abbiamo comprato	perché praticamente noi abbiamo comprato
53	SP3	84.1	85.92	1.82	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	5	questi gelati pan di stelle	questi gelati pan di stelle	questi gelati pan di stelle
54	SP3	85.92	87.42	1.5	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	7	che erano quelli là tipo a biscotto	che erano quelli là tipo a biscotto	che erano quelli là tipo a biscotto
55	SP3	87.5	89.342	1.842	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	7	che ce ne erano due in una:	che ce ne erano due in una:	che ce ne erano due in una
56	SP3	89.395	90.211	0.816	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	bustina	bustina	bustina
57	SP3	90.432	92.916	2.484	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	11	io ho detto voglio questo però voglio anche quello al caramello	io ho detto voglio questo però voglio anche quello al caramello	io ho detto voglio questo però voglio anche quello al caramello
58	SP3	93.04	94.074	1.034	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	4	quindi ho mangiato uno	quindi ho mangiato uno	quindi ho mangiato uno
59	SP3	94.1	95.76	1.66	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	9	di quelli io ho dato l'altro a lui	di quelli io ho dato l'altro a lui	di quelli io ho dato l' altro a lui
60	SP3	95.76	99.632	3.872	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	15	io ho mangiato quello al caramello la stessa quantità che ha mangiato lui uguale identico	io ho mangiato quello al caramello la stessa quantità che ha mangiato lui uguale identico	io ho mangiato quello al caramello la stessa quantità che ha mangiato lui uguale identico
61	SP3	99.98	102.02	2.04	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	12	quindi la cosa che adesso io sono il porco e tu no	quindi la cosa che adesso io sono il porco e tu no	quindi la cosa che adesso io sono il porco e tu no
62	SP3	102.86	103.695	0.835	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	2	lasciamo stare	lasciamo stare	lasciamo stare
63	SP2	103.716	105.86	2.144	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	5	in generale: per una giornata:	in generale: per una giornata:	in generale per una giornata
64	SP2	105.96	107.96	2.0	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	8	c'è stato tanto cibo un po' chiatto	c'è stato tanto cibo un po' chiatto	c' è stato tanto cibo un po' chiatto
65	SP3	108.08	110.28	2.2	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	8	ma è domenica è festa [lo sanno tutti]	ma è domenica è festa [lo sanno tutti]	ma è domenica è festa lo sanno tutti
66	SP2	109.647	110.9	1.253	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	4	[eh lo so pe][rò:]	[eh lo so pe][rò:]	eh lo so però
67	SP1	110.505	111.963	1.458	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	4	[mh] chiediamolo al diabete	[mh] chiediamolo al diabete	mh chiediamolo al diabete
68	SP1	111.968	114.08	2.112	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	10	di terzo tipo che avremo tra un paio di anni	di terzo tipo che avremo tra un paio di anni	di terzo tipo che avremo tra un paio di anni
69	SP2	116.021	117.453	1.432	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	1	0	5	tra [un paio di anni] ((ride))	tra [un paio di anni] {ride}	tra un paio di anni {ride}
70	SP3	116.2	118.658	2.458	True	False	0	0	1	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	8	[sì perchè tutti i giorni] mangio così ovviamente	[sì perché tutti i giorni] mangio così ovviamente	sì perché tutti i giorni mangio così ovviamente
71	SP1	120.62	122.36	1.74	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	4	(nervosamente) mi fa venire	(nervosamente) mi fa venire	nervosamente mi fa venire
72	SP2	122.36	124.137	1.777	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	6	avete mangiato l'insalata ieri eh	avete mangiato l'insalata ieri eh	avete mangiato l' insalata ieri eh
73	SP1	124.2	125.805	1.605	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	5	ieri ho mangiato l'insalatina	ieri ho mangiato l'insalatina	ieri ho mangiato l' insalatina
74	SP2	128.12	129.768	1.648	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	8	no non mi guardare così che ho detto?	no non mi guardare così che ho detto?	no non mi guardare così che ho detto
75	SP1	129.932	131.495	1.563	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	7	vuoi sapere che c'era nell'insalatina?	vuoi sapere che c'era nell'insalatina?	vuoi sapere che c' era nell' insalatina
76	SP1	131.5	132.905	1.405	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	4	c'erano i cubetti	c'erano i cubetti	c' erano i cubetti
77	SP2	133.2	134.5	1.3	True	False	0	0	0	0	0	0	0	0	False	False	False	True	True	78=0.500	False	0	0	0	5	di formaggio e di sa[lame	di formaggio e di sa[lame	di formaggio e di salame
78	SP1	134.0	134.8	0.8	True	False	0	0	0	0	0	0	0	0	False	False	False	False	True	77=0.500,79=0.258	True	0	0	0	2	[di provolone]	[di provolone]	di provolone
79	SP2	134.542	135.537	0.995	True	False	0	0	0	0	0	0	0	0	False	False	False	True	True	78=0.258,80=0.669	False	0	0	0	4	(me l'ha] d[etto)]	(me l'ha] d[etto)]	me l' ha detto
80	SP1	134.868	135.847	0.979	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	4	[i: cubetti] di sa-	[i: cubetti] di sa-	i cubetti di sa-
81	SP1	135.9	137.832	1.932	True	False	0	0	0	0	0	0	0	1	False	False	False	False	False	_	False	0	0	0	6	e ti sembra un'insalatina [questa?]	e ti sembra un'insalatina [questa]?	e ti sembra un' insalatina questa
82	SP2	137.274	140.926	3.652	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	14	[va be'] però x non è che ha esaggerato sono degli affettati con l'insalata	[va be'] però x non è che ha esaggerato sono degli affettati con l'insalata	va be' però x non è che ha esaggerato sono degli affettati con l' insalata
83	SP2	140.942	142.016	1.074	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	3	c(io)è un pranzo:	c(io)è un pranzo:	cioè un pranzo
84	SP2	142.174	143.511	1.337	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	4	[(secondo me) non] trop[po:]	[(secondo me) non] trop[po:]	secondo me non troppo
85	SP3	142.174	142.811	0.637	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	2	[allora (miri)]	[allora (miri)]	allora miri
86	SP3	143.179	143.732	0.553	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	3	[te lo] giuro	[te lo] giuro	te lo giuro
87	SP3	143.779	145.763	1.984	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	10	ti ti fidi di me quando ti dico una cosa?	ti ti fidi di me quando ti dico una cosa?	ti ti fidi di me quando ti dico una cosa
88	SP3	145.989	148.068	2.079	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	15	c(io)è non dico non ti ho mai detto una bugia in vita mia a te	c(io)è non dico non ti ho mai detto una bugia in vita mia a te	cioè non dico non ti ho mai detto una bugia in vita mia a te
89	SP3	148.77	149.065	0.295	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	allora	allora	allora
90	SP3	150.616	151.626	1.01	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	3	ho messo mezza	ho messo mezza	ho messo mezza
91	SP3	152.047	153.137	1.09	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	3	cosa di iceberg	cosa di iceberg	cosa di iceberg
92	SP3	153.592	154.655	1.063	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	4	poi ci ho messo	poi ci ho messo	poi ci ho messo
93	SP3	154.82	158.232	3.412	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	8	quattro fette contate di salame tagliate a cubetti	quattro fette contate di salame tagliate a cubetti	quattro fette contate di salame tagliate a cubetti
94	SP3	159.04	160.532	1.492	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	4	mezzo pezzo di auricchio	mezzo pezzo di auricchio	mezzo pezzo di auricchio
95	SP3	160.563	162.821	2.258	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	6	cioè di: provolone tagliato a cubetti	cioè di: provolone tagliato a cubetti	cioè di provolone tagliato a cubetti
96	SP3	163.3	163.647	0.347	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	e	e	e
97	SP3	163.658	164.947	1.289	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	4	due fettine di pane	due fettine di pane	due fettine di pane
98	SP3	164.963	167.953	2.99	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	12	tagliate a cubetti saltate in padella che l'ho fatto tipo crostino	tagliate a cubetti saltate in padella che l'ho fatto tipo crostino	tagliate a cubetti saltate in padella che l' ho fatto tipo crostino
99	SP2	168.089	168.279	0.19	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	mh	mh	mh
100	SP3	168.479	168.874	0.395	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	basta	basta	basta
101	SP3	170.44	172.568	2.128	True	False	0	0	0	0	0	0	0	0	False	False	False	False	True	102=1.153	False	0	0	0	4	x ah è una carota:	x ah è una carota:	x ah è una carota
102	SP2	171.094	172.247	1.153	True	False	0	0	0	0	0	0	0	0	False	False	False	False	True	101=1.153	False	0	0	0	0	xxxxxxx	xxxxxxx	x
103	SP3	172.58	174.3	1.72	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	6	che l'ho tagliata piccolina piccoli[na]	che l'ho tagliata piccolina piccoli[na]	che l' ho tagliata piccolina piccolina
104	SP2	174.02	175.679	1.659	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	9	[no] secondo me la carota non ci stava bene	[no] secondo me la carota non ci stava bene	no secondo me la carota non ci stava bene
105	SP3	175.68	176.46	0.78	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	3	invece stava bene	invece stava bene	invece stava bene
106	SP2	176.637	176.789	0.152	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	sì?	sì?	sì
107	SP2	177.5	180.34	2.84	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	9	no comunque no per me è un pranzo [standard]	no comunque no per me è un pranzo [standard]	no comunque no per me è un pranzo standard
108	SP3	179.542	180.7	1.158	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	5	[non è un pranzo] grasso	[non è un pranzo] grasso	non è un pranzo grasso
109	SP2	180.705	181.105	0.4	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	no	no	no
110	SP3	183.84	185.58	1.74	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	6	pranzo che è terminato col gelato	pranzo che è terminato col gelato	pranzo che è terminato col gelato
111	SP2	186.158	186.421	0.263	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	ah	ah	ah
112	SP3	186.679	187.78	1.101	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	4	[non solo per] me	[non solo per] me	non solo per me
113	SP2	186.694	187.505	0.811	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	[questo xxx]	[questo xxx]	questo x
114	SP3	187.9	188.66	0.76	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	4	ma anche per lui	ma anche per lui	ma anche per lui
115	SP3	188.732	189.074	0.342	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	1	quin[di]	quin[di]	quindi
116	SP2	188.853	191.64	2.787	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	9	[va be'] però comunque in generale state un pochino:	[va be'] però comunque in generale state un pochino:	va be' però comunque in generale state un pochino
117	SP2	191.647	192.937	1.29	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	5	dando alla pazza gioia eh	dando alla pazza gioia eh	dando alla pazza gioia eh
118	SP1	193.16	194.24	1.08	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	5	ma io non sto dicendo	ma io non sto dicendo	ma io non sto dicendo
119	SP1	194.32	196.632	2.312	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	6	marco stai mangiando come il maiale	marco stai mangiando come il maiale	marco stai mangiando come il maiale
120	SP1	196.66	197.98	1.32	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	3	marco avrà diabete	marco avrà diabete	marco avrà diabete
121	SP1	198.0	200.06	2.06	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	4	sto dicendo marco entrambi	sto dicendo marco entrambi	sto dicendo marco entrambi
122	SP1	200.18	201.86	1.68	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	3	assumiamoci le responsabilità	assumiamoci le responsabilità	assumiamoci le responsabilità
123	SP1	202.26	203.83	1.57	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	7	che noi già viviamo in una terra	che noi già viviamo in una terra	che noi già viviamo in una terra
124	SP1	203.83	206.221	2.391	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	6	di merda che ci porta naturalmente	di merda che ci porta naturalmente	di merda che ci porta naturalmente
125	SP1	206.242	207.205	0.963	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	3	a morire prima	a morire prima	a morire prima
126	SP1	207.205	208.8	1.595	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	5	poi mangiamo anche molto male	poi mangiamo anche molto male	poi mangiamo anche molto male
127	SP2	208.805	210.305	1.5	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	6	però tipo ieri avete mangiato le [xxx]	però tipo ieri avete mangiato le [xxx]	però tipo ieri avete mangiato le x
128	SP3	209.795	211.18	1.385	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	7	[parla per] te io non abito qua	[parla per] te io non abito qua	parla per te io non abito qua
129	SP1	213.0	213.9	0.9	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	4	marco ma va cac	marco ma va cac	marco ma va cac
130	SP2	214.737	215.405	0.668	True	False	0	0	0	0	0	0	0	0	False	False	False	False	True	131=0.210	False	0	0	0	0	xxxx	xxxx	x
131	SP3	215.195	216.22	1.025	True	False	0	0	0	0	0	0	0	0	False	False	False	False	True	130=0.210	False	0	0	0	5	si ma questo gay drama	si ma questo gay drama	si ma questo gay drama
132	SP3	216.24	217.14	0.9	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	3	non ho capito	non ho capito	non ho capito
133	SP3	217.305	217.979	0.674	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	4	co sta cosa che	co sta cosa che	co sta cosa che
134	SP3	220.963	222.51	1.547	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	6	per forza dobbiamo litigarci ogni volta	per forza dobbiamo litigarci ogni volta	per forza dobbiamo litigarci ogni volta
135	SP1	224.82	225.78	0.96	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	3	ma se vuoi	ma se vuoi	ma se vuoi
136	SP1	226.22	227.73	1.51	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	5	°(possiamo anche non litigarci più)°	°(possiamo anche non litigarci più)°	possiamo anche non litigarci più
137	SP1	229.758	230.599	0.841	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	3	a casa mia	a casa mia	a casa mia
138	SP3	230.605	231.284	0.679	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	1	0	0	((ride))	{ride}	{ride}
