default	231.700	232.318	0.618
Subtitle-Tier-1	121.980	128.380	6.400	in particolare in un ufficio che si chiama international desk che si occupa di dare supporto
Subtitle-Tier-1	128.440	132.880	4.440	e orientamento agli studenti internazionali che vengono a iscriversi all'università di bologna
Subtitle-Tier-1	133.460	139.760	6.300	quindi che fanno un intero percorso trinale magistrale e principalmente diamo supporto per
Subtitle-Tier-1	140.080	147.400	7.320	e: op- o- o- orientamento sul processo proprio di iscrizione cosa fare, da dove partire,
Subtitle-Tier-1	147.440	151.340	3.900	ma poi nel dettaglio in particolare sulle questioni che riguardano l'immigrazione
Subtitle-Tier-1	152.180	159.130	6.950	quindi su come ottenere un visto come fare per il suo giorno diamo informazioni sui titoli esteri
Subtitle-Tier-1	159.130	163.080	3.950	cosa: che documenti devono presentare per iscriversi con un titolo di studio estero
Subtitle-Tier-1	164.140	166.820	2.680	e insomma queste cose queste cose qui principalmente
Subtitle-Tier-1	167.800	168.481	0.681	em:
Subtitle-Tier-1	170.980	179.080	8.100	allora dopo la laurea io mi sono laureato nel 2017 (.) ho fatto sei mesi in un'azienda
Subtitle-Tier-1	179.600	192.060	12.460	e: che faceva: tende frangisole come commerciale estero tipo però non mi piaceva in particolare l'ambiente
Subtitle-Tier-1	192.660	198.460	5.800	anche il lavoro in sé non mi faceva impazzire ma poi l'ambiente non era ((ride)) particolarmente saltare
Subtitle-Tier-1	199.160	203.840	4.680	e quindi quando ho definito questo tirocino di sei mesi poi dopo non ho- [non ho abbandonato]
Subtitle-Tier-1	205.109	208.700	3.591	e: poi ho avuto un momento in cui dicevo cosa faccio della mia vita ((ride))
Subtitle-Tier-1	208.900	218.080	9.180	classico momento che prima o poi arriva e: ho fatto- ho iniziato facendo un tutorato al- sempre all'università
Subtitle-Tier-1	219.180	227.640	8.460	come tutor internazionale di un dipartimento(.) perché premessa durante la magistrale
Subtitle-Tier-1	228.040	232.740	4.700	avevo fatto e: un tutorato nell'ufficio relazioni  internazionale in cui [adesso lavoro]
Subtitle-Tier-1	233.860	244.060	10.200	sono dei: lavori che possono fare gli studenti tot ore e: quindi siccome mi era piaciuta quell'esperienza che ho fatto lì ho detto proviamo a tornare a fare qualcosa all'università
Subtitle-Tier-1	244.600	266.400	21.800	quindi ho fatto questo tutorato [da laureata a quel punto ]mentre stavo facendo questo è uscito un concorso specifico per le relazioni internazionali e quindi l'ho fatto e sono stata presa e dopo ho lasciato il tutorato ho iniziato a fare quello poi ho fatto vari concorsi perché il primo che ho vinto era un concorso determinato poi l'anno dopo ne ho fatto uno
Subtitle-Tier-1	268.100	276.220	8.120	poi l'anno dopo ne ho fatto uno indeterminato di una categoria un po' inferiore però determinato ((ride)) non si butta via
Subtitle-Tier-1	277.300	282.008	4.708	e che ho fatto quello poi l'anno dopo ancora ne ho fatto un altro sempre indeterminato però del livello superiore
Subtitle-Tier-1	283.800	287.138	3.338	 e questo è stato l'anno scorso sì l'anno scorso
Subtitle-Tier-1	287.769	291.101	3.332	io adesso basta non voglio più fare concorsi [per la mia vita]
Subtitle-Tier-1	293.360	329.320	35.960	sì sì ceh oddio non si sa mai nella vita però io penso che non lascerò unibo quello che può succedere è secondo me succedere secondo me è che magari il cambio posizione all'interno di uniibo o cambio ufficio o aree perché spesso magari come dopo un tante di anni dicevo io cambia un po' lavoro voglio fare qualcosa di un po' diverso che è un trasferimento a un altro ufficio un altro campus anche a forlì potenzialmente e quindi questo sicuramente secondo me succederà però mi trovo bene
Subtitle-Tier-1	329.380	339.680	10.300	sì sicuramente i miei colleghi mi trovo benissimo questo è una grande parte secondo me del lavoro perché a volte dici ah ti piace il lavoro o non ti piace il lavoro
Subtitle-Tier-1	341.620	352.000	10.380	il lavoro in sé secondo me conta ma non tanto quanto conta l'ambiente [l'ambiente] le persone con cui lavori ho capito questa cosa qui perché a volte dici il lavoro della vita che hai
Subtitle-Tier-1	352.392	362.410	10.018	perché a volte: dici il lavoro della vita che hai sempre voluto fare in pratica io non avevo un lavoro che volevo che avrei sempre voluto fare però dici
Subtitle-Tier-1	362.410	368.500	6.090	il lavoro è perfetto però poi stai male perché hai delle persone con cui non ti trovi
Subtitle-Tier-1	374.000	382.440	8.440	comunque io mi trovo bene con i miei colleghi il lavoro comunque mi piace quindi per ora io finché non mi mandano via ((ride)) mi barro qui per sempre
Subtitle-Tier-1	382.680	388.000	5.320	poi è chiaro che le cose cambiano negli anni però per ora sono felice così
Subtitle-Tier-1	391.808	399.000	7.192	sì sì no io volevo fare qualcosa il mio unico obiettivo era fare qualcosa in cui potessi usare le lingue perché sennò dico
Subtitle-Tier-1	400.492	409.020	8.528	inglese e spagnolo lo spagnolo ti dico la verità non lo uso tanto raramente quando viene qualche studente a sportello che ((ride))
Subtitle-Tier-1	410.200	442.180	31.980	provi a parlargli in inglese e non capisce provi a parlargli in italiano non capisce senti che parla spagnolo però si tendenzialmente uso tutti i giorni in inglese perché scrivo tutti i giorni in inglese parlo tutti i giorni in inglese con loro e quindi questo sono molto contenta poi non so il mio inglese probabilmente sta regredendo perché ho apportato di parlare con i miei strani comunque non sono madrelingua hanno gli accenti tutti strani tra gli indiani yes ma yes ma
Subtitle-Tier-1	442.285	444.108	1.823	((ride))
Subtitle-Tier-1	444.400	465.100	20.700	[dopo un po'] cioè cerchi di farti capire bene quindi scandisci bene però il mio accento probabilmente è un attimo andato a quel paese ((ride)) però sì no sono contenta perché riesco ad usare vai quello che poi tutti gli esami di letteratura che ho fatto non sono non sono [non sono servite a niente chiaramente] però lo stesso
Subtitle-Tier-1	467.700	489.830	22.130	sì sì esatto a me piace parlare in inglese il mio obiettivo era quello usare l'inglese tutti i giorni e tenerlo chiaramente fresco perché se in inglese non lo parli un po' sai in te sei molto tempo senza parlarlo sì lo sai però si arruzzinisce senti sempre all'ultimo senti sempre un po' odio ma non
Subtitle-Tier-1	489.830	495.800	5.970	so più parlare è vero è vero e quindi non è più così automatico esatto questo mi permette di avere
Subtitle-Tier-1	509.280	517.480	8.200	perché abbiamo deciso di tornare fuori lì prima o poi farò da pendolare su bologna ma ho recentemente
Subtitle-Tier-1	517.480	523.560	6.080	firmato un contratto di telelavoro perché adesso con dopo il covid hanno dato la possibilità di
Subtitle-Tier-1	523.560	531.660	8.100	fare i contratti di telelavoro e questo contratto prevede che due giorni a settimana io posso
Subtitle-Tier-1	531.660	540.080	8.420	lavorare da casa quindi almeno se devo andare su tre volte invece che due è più fattibile secondo me
Subtitle-Tier-1	540.160	546.840	6.680	poi in futuro magari posso anche ricontrattare chiedere a me ho tre giorni a casa e voi mi presenta
Subtitle-Tier-1	548.140	554.190	6.050	quindi penso sia fattibile anche poi il mio ragazzo lavora a forlì e lavora a scuola quindi tutte le
Subtitle-Tier-1	560.900	568.760	7.860	pendetterò da bologna alle sei e mezza tutti i giorni sì infatti non so quanto ore girà ancora
Subtitle-Tier-1	578.780	582.360	3.580	non solo il pubblico ma anche molte attende hanno aperto un sacco allo smart working
Subtitle-Tier-1	590.680	597.160	6.480	adesso quando ci sono proprio chiusure ad esempio l'università permette a tutti di fare un si
Subtitle-Tier-1	597.160	604.880	7.720	chiama lavoro agile e emergenziale e lo fanno fare a tutti adesso da due settimane a questa parte
