tu_id	speaker	start	end	duration	include	W:normalized_spaces	W:numbers	W:accents	W:non_jefferson	W:pauses_trim	W:prosodic_trim	E:volume	E:pace	E:guess	E:overlap	E:overlap_mismatch	Error Rate	E:overlap_duration	T:shortpauses	T:metalinguistic	T:errors	T:linguistic	annotation	correct	text
36	SP1	73.103	73.513	0.41	True	0	0	0	0	0	0	False	False	False	False	False		_	0	0	0	1	[bello]	[bello]	bello
37	SP1	76.404	76.852	0.448	True	0	0	0	0	0	0	False	False	False	False	False		_	0	0	0	1	[sì]	[sì]	sì
38	SP1	78.595	80.234	1.639	True	0	0	0	0	0	0	False	False	False	False	True	HIGH	39=0.442	0	0	0	7	che poi hanno messo anche le <sue>	che poi hanno messo anche le <sue>	che poi hanno messo anche le sue
39	SP2	79.792	81.639	1.847	True	0	0	0	0	0	0	False	False	False	False	False		_	0	0	0	10	[e infatti] poi >hanno messo< [hanno messo] anche le sue	[e infatti] poi >hanno messo< [hanno messo] anche le sue	e infatti poi hanno messo hanno messo anche le sue
40	SP1	80.579	81.049	0.47	True	0	0	0	0	0	0	False	False	False	False	False		_	0	0	0	2	[si si]	[si si]	si si
41	SP2	82.207	83.202	0.995	True	0	0	0	0	0	0	False	False	False	False	False		_	0	0	0	1	e::h	e::h	eh
42	SP2	83.382	86.459	3.077	True	0	0	0	0	0	0	False	False	False	False	False		_	0	0	0	8	però ci sta e:h cantante moderno [diciamo più::]	però ci sta e:h cantante moderno [diciamo più::]	però ci sta eh cantante moderno diciamo più
43	SP1	85.387	86.748	1.361	True	0	0	0	0	0	0	False	False	False	False	False		_	0	0	0	4	[mhmh] anche secondo °me°	[mhmh] anche secondo °me°	mhmh anche secondo me
44	SP2	86.808	87.896	1.088	True	0	0	0	0	0	0	False	False	False	False	False		_	0	0	0	2	più <bolognese>	più <bolognese>	più bolognese
45	SP1	88.601	91.573	2.972	True	0	0	0	0	0	0	False	False	False	False	False		_	0	0	0	8	invece:: il tuo posto del cuore di <bologna>?	invece:: il tuo posto del cuore di <bologna>?	invece il tuo posto del cuore di bologna
46	SP1	91.797	95.726	3.929	True	0	0	0	0	0	0	False	False	False	False	False		_	0	0	0	11	non so anche solo un <bar> [a cui sei] particolarmente affezionata?	non so anche solo un <bar> [a cui sei] particolarmente affezionata?	non so anche solo un bar a cui sei particolarmente affezionata
47	SP2	93.491	94.142	0.651	True	0	0	0	0	0	0	False	False	False	False	False		_	0	0	0	1	[mhmh]	[mhmh]	mhmh
48	SP2	96.497	96.956	0.459	True	0	0	0	0	0	0	False	False	False	False	False		_	0	0	0	1	mh	mh	mh
49	SP2	98.885	101.327	2.442	True	0	0	0	0	0	0	False	False	False	False	False		_	0	0	0	3	e::h forse:: m:h	e::h forse:: m:h	eh forse mh
50	SP2	102.196	106	3.804	True	0	0	0	0	0	0	False	False	False	False	True		51=0.301	0	1	0	10	mangiare un gelato seduti su:lle gradine di piazza santo stefano ((ride))	mangiare un gelato seduti su:lle gradine di piazza santo stefano {ride}	mangiare un gelato seduti sulle gradine di piazza santo stefano {ride}
51	SP1	105.699	106.196	0.497	True	0	0	0	0	0	0	False	False	False	False	True		50=0.301	0	0	0	1	a::h	a::h	ah
52	SP1	106.431	107.54	1.109	True	0	0	0	0	0	0	False	False	False	False	False		_	0	0	0	3	lì è [<bellissimo>]	lì è [<bellissimo>]	lì è bellissimo
53	SP2	106.901	111.098	4.197	True	0	0	0	0	0	0	False	False	False	False	False		_	0	0	1	15	[piazza di:] piazza santo stefano mi piace molto poi c'è di fianco la mia gelateria preferita	[piazza di:] piazza santo stefano mi piace molto poi c'è di fianco la mia gelateria preferita	piazza di piazza santo stefano mi piace molto poi c'è di fianco la mia gelateria preferita
54	SP2	111.513	118.241	6.728	True	0	0	0	0	0	0	False	False	False	False	False		_	0	0	1	23	e quindi spesso d'estate con il mio ragazzo andiamo: andiamo lì prendiamo un gelato e ci sediamo:: in piazz[a: san]to stefano °forse quello [sì]°	e quindi spesso d'estate con il mio ragazzo andiamo: andiamo lì prendiamo un gelato e ci sediamo:: in piazz[a: san]to stefano °forse quello [sì]°	e quindi spesso d'estate con il mio ragazzo andiamo andiamo lì prendiamo un gelato e ci sediamo in piazza santo stefano forse quello sì
55	SP1	116.502	116.983	0.481	True	0	0	0	0	0	0	False	False	False	False	False		_	0	0	0	1	[bello]	[bello]	bello
56	SP1	118.204	118.983	0.779	True	0	0	0	0	0	0	False	False	False	False	False		_	0	0	0	1	[be]llissimo	[be]llissimo	bellissimo
57	SP1	119.245	123.319	4.074	True	0	0	0	0	0	0	False	False	False	False	False		_	1	0	0	14	e in generale bologna (.) la ritieni che sia una bella città in cui vivere:	e in generale bologna {P} la ritieni che sia una bella città in cui vivere:	e in generale bologna {P} la ritieni che sia una bella città in cui vivere
58	SP2	124.209	127.069	2.86	True	0	0	0	0	0	0	False	False	False	False	False		_	0	0	0	13	sì si si si secondo me: è una bella città in cui vivere	sì si si si secondo me: è una bella città in cui vivere	sì si si si secondo me è una bella città in cui vivere
59	SP2	127.606	128.811	1.205	True	0	0	0	0	0	0	False	False	False	False	False		_	0	0	0	2	e::h m:h	e::h m:h	eh mh
60	SP2	129.405	130.341	0.936	True	0	0	0	0	0	0	False	False	False	False	False		_	0	0	0	2	non so	non so	non so
61	SP2	130.658	134.213	3.555	True	0	0	0	0	0	0	False	False	False	False	False		_	1	0	0	9	se (.) poterci vivere forse con una famiglia [em::h l-]	se {P} poterci vivere forse con una famiglia [em::h l-]	se {P} poterci vivere forse con una famiglia emh l-
62	SP1	133.311	135.564	2.253	True	0	0	0	0	0	0	False	False	False	False	False		_	0	0	0	7	[okay quindi un po'] per giova[ni magari]	[okay quindi un po'] per giova[ni magari]	okay quindi un po' per giovani magari
63	SP2	134.752	137.35	2.598	True	0	0	0	0	0	0	False	False	False	False	False		_	0	0	0	11	[sì secondo me] è una città più per giovani per studenti:	[sì secondo me] è una città più per giovani per studenti:	sì secondo me è una città più per giovani per studenti
64	SP2	138.119	139.905	1.786	True	0	0	0	0	0	0	False	False	False	False	False		_	0	0	0	2	perché mh	perché mh	perché mh
65	SP2	140.551	145.512	4.961	True	0	0	0	0	0	0	False	False	False	False	False		_	0	0	0	19	sì ci sono molte attività: che puoi fare poi sicuramente ci sono cose anche per per le famiglie chiaramente	sì ci sono molte attività: che puoi fare poi sicuramente ci sono cose anche per per le famiglie chiaramente	sì ci sono molte attività che puoi fare poi sicuramente ci sono cose anche per per le famiglie chiaramente
66	SP2	146.153	149.26	3.107	True	0	0	0	0	0	0	False	False	False	False	False		_	0	0	0	11	però:: mi sembra un po' più a misura di: di giova[ni]	però:: mi sembra un po' più a misura di: di giova[ni]	però mi sembra un po' più a misura di di giovani
67	SP1	149.102	149.465	0.363	True	0	0	0	0	0	0	False	False	False	False	False		_	0	0	0	1	[mhmh]	[mhmh]	mhmh
68	SP2	149.559	150.846	1.287	True	0	0	0	0	0	0	False	False	False	False	False		_	0	0	0	3	che: che famiglia	che: che famiglia	che che famiglia
69	SP1	150.991	153.901	2.91	True	0	0	0	0	0	0	False	False	False	False	False		_	0	0	0	11	e: per esempio i suoi punti forti secondo te quali sono?	e: per esempio i suoi punti forti secondo te quali sono?	e per esempio i suoi punti forti secondo te quali sono
70	SP2	154.495	156.572	2.077	True	0	0	0	0	0	0	False	False	False	False	False		_	0	0	0	4	ah i punti forti::	ah i punti forti::	ah i punti forti
71	SP2	156.807	157.905	1.098	True	0	0	0	0	0	0	False	False	False	False	False		_	0	0	0	1	sicuramente:	sicuramente:	sicuramente
72	SP2	158.559	159.611	1.052	True	0	0	0	0	0	0	False	False	False	False	False		_	0	0	0	1	m::h	m::h	mh
73	SP2	159.841	162.858	3.017	True	0	0	0	0	0	0	False	False	False	False	False		_	0	0	1	8	la storia cioè l'architettura, il il centro stori[co eh]	la storia cioè l'architettura, il il centro stori[co eh]	la storia cioè l'architettura, il il centro storico eh
74	SP1	162.41	162.777	0.367	True	0	0	0	0	0	0	False	False	False	False	False		_	0	0	0	1	[mhmh]	[mhmh]	mhmh
75	SP2	163.098	165.846	2.748	True	0	0	0	0	0	0	False	False	False	False	False		_	0	0	0	6	proprio piena di:: m:h dalle torri	proprio piena di:: m:h dalle torri	proprio piena di mh dalle torri
76	SP2	165.995	170.923	4.928	True	0	0	0	0	0	0	False	False	False	False	False		_	0	0	0	12	a::: san petronio insomma è proprio bella a livello >secondo me< architettonico:	a::: san petronio insomma è proprio bella a livello >secondo me< architettonico:	a san petronio insomma è proprio bella a livello secondo me architettonico
77	SP2	171.162	171.935	0.773	True	0	0	0	0	0	0	False	False	False	False	False		_	0	0	0	1	storico	storico	storico
78	SP2	172.555	179.661	7.106	True	0	0	0	0	0	0	False	False	False	False	False		_	1	0	1	24	e:::h poi la vita (.) c'è sempre un sacco di cose da fare se xx esci è pieno di gente [in centro in] tutti i locali:	e:::h poi la vita {P} c'è sempre un sacco di cose da fare se xx esci è pieno di gente [in centro in] tutti i locali:	eh poi la vita {P} c'è sempre un sacco di cose da fare se xx esci è pieno di gente in centro in tutti i locali
79	SP1	178.257	178.911	0.654	True	0	0	0	0	0	0	False	False	False	False	False		_	0	0	0	2	[è vero]	[è vero]	è vero
80	SP2	180.106	183.5	3.394	True	0	0	0	0	0	0	False	False	False	False	False		_	0	0	0	10	e::h poi senti che arriva: è molto vissuta come città	e::h poi senti che arriva: è molto vissuta come città	eh poi senti che arriva è molto vissuta come città
81	SP2	184.397	189.32	4.923	True	0	0	0	0	0	0	False	False	False	False	False		_	0	0	0	17	e::h poi vabbè ci sono concerti, stadio c(io)è ci sono tante cose da fare:: se se vuoi:	e::h poi vabbè ci sono concerti, stadio c(io)è ci sono tante cose da fare:: se se vuoi:	eh poi vabbè ci sono concerti stadio cioè ci sono tante cose da fare se se vuoi
82	SP2	189.69	192.707	3.017	True	0	0	1	0	0	0	False	False	False	False	False		_	0	0	0	10	se vuoi viverla quindi secondo me queste sono un [pò:]	se vuoi viverla quindi secondo me queste sono un [pò:]	se vuoi viverla quindi secondo me queste sono un pò
83	SP1	192.508	194.795	2.287	True	0	0	0	0	0	0	False	False	False	False	False		_	0	0	0	5	[i mezzi] di trasporto: anche:	[i mezzi] di trasporto: anche:	i mezzi di trasporto anche
84	SP2	194.812	199.022	4.21	True	0	0	0	0	0	0	False	False	False	False	False		_	0	0	0	15	e::h i mezzi di trasporto: >come dicevo< se sei in centro s- dentro alle mura:	e::h i mezzi di trasporto: >come dicevo< se sei in centro s- dentro alle mura:	eh i mezzi di trasporto come dicevo se sei in centro s- dentro alle mura
85	SP2	199.696	202.58	2.884	True	0	0	0	0	0	0	False	False	False	False	False		_	0	0	0	8	m::h vai in bicicletta, vai a piedi ovunque	m::h vai in bicicletta, vai a piedi ovunque	mh vai in bicicletta vai a piedi ovunque
86	SP2	202.812	203.762	0.95	True	0	0	0	0	0	0	False	False	False	False	False		_	0	0	0	1	menomale	menomale	menomale
87	SP2	204.475	208.215	3.74	True	0	0	0	0	0	0	False	False	False	False	False		_	0	0	1	9	anche l'autobus secondo me funziona abbastanza bene n:on mi sembra:	anche l'autobus secondo me funziona abbastanza bene n:on mi sembra:	anche l'autobus secondo me funziona abbastanza bene non mi sembra
88	SP2	208.911	209.513	0.602	True	0	0	0	0	0	0	False	False	False	False	False		_	0	0	0	1	c(io)è	c(io)è	cioè
89	SP2	209.806	212.033	2.227	True	0	0	0	0	0	0	False	False	False	False	False		_	0	0	0	2	particolarmente: inefficenti	particolarmente: inefficenti	particolarmente inefficenti
