tu_id	speaker	start	end	duration	include	W:normalized_spaces	W:numbers	W:accents	W:non_jefferson	W:pauses_trim	W:prosodic_trim	W:moved_boundaries	E:volume	E:pace	E:guess	E:overlap	E:overlap_mismatch	E:overlap_duration	T:shortpauses	T:metalinguistic	T:errors	T:linguistic	annotation	correct	text
33	SP2	81.61	84.42	2.81	True	0	0	1	0	0	0	0	False	False	False	False	False	_	0	0	0	4	[°cioè° ecco per]ciò che:	[°cioè° ecco per]cio' che:	cioè ecco percio' che
34	SP1	84.43	85.64	1.21	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	5	forse è stato per [quello]	forse è stato per [quello]	forse è stato per quello
35	SP2	85.29	85.64	0.35	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	[sì]	[sì]	sì
36	SP1	85.97	88.15	2.18	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	6	e: stamattina noi siamo andate in	e: stamattina noi siamo andate in	e stamattina noi siamo andate in
37	SP2	89.3	89.84	0.54	True	0	0	0	0	0	0	0	False	False	False	False	True	38=0.380	0	0	0	1	zona	zona	zona
38	SP1	89.46	93.2	3.74	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	10	[prati]camente tutti i negozi di via san vitale [a chiedere]	[prati]camente tutti i negozi di via san vitale [a chiedere]	praticamente tutti i negozi di via san vitale a chiedere
39	SP2	92.42	99.72	7.3	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	22	[sì nessuno] che non ti ha detto che c'è sì perché hanno paura per: perché non si sa cosa succederà [°dopo°]	[sì nessuno] che non ti ha detto che c'è sì perché hanno paura per: perché non si sa cosa succederà [°dopo°]	sì nessuno che non ti ha detto che c' è sì perché hanno paura per perché non si sa cosa succederà dopo
40	SP1	99.23	99.72	0.49	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	3	[mh mh mh]	[mh mh mh]	mh mh mh
41	SP1	99.96	100.62	0.66	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	infatti sì	infatti sì	infatti sì
42	SP1	100.62	103.18	2.56	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	7	quindi vabbè ma noi [abbiamo provato ovviamente]	quindi vabbè ma noi [abbiamo provato ovviamente]	quindi vabbè ma noi abbiamo provato ovviamente
43	SP2	101.65	103.17	1.52	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	[sì assolutamente]	[sì assolutamente]	sì assolutamente
44	SP1	103.43	109.18	5.75	True	0	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0	11	[em:h invece] (.) tu vivi in italia da sempre? da alcuni anni?	[em:h invece] {P} tu vivi in italia da sempre? da alcuni anni?	emh invece {P} tu vivi in italia da sempre da alcuni anni
45	SP2	103.44	104.3	0.86	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	[assolutamente]	[assolutamente]	assolutamente
46	SP2	109.42	113.62	4.2	True	0	1	0	0	0	0	0	False	False	False	False	False	_	0	0	0	13	no non è che da sempre sì da circa 15 anni già passato	no non è che da sempre sì da circa quindici anni già passato	no non è che da sempre sì da circa quindici anni già passato
47	SP1	113.63	117.98	4.35	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	9	okay okay beh comun[que] eh parli beni- parli be[nissimo]	okay okay beh comun[que] eh parli beni- parli be[nissimo]	okay okay beh comunque eh parli beni- parli benissimo
48	SP2	113.99	115.2	1.21	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	1	0	0	((ride))	{ride}	{ride}
49	SP2	116.09	116.54	0.45	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	[sì]	[sì]	sì
50	SP2	117.44	119.18	1.74	True	0	1	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	[Beh] 15 anni eh	[Beh] quindici anni eh	beh quindici anni eh
51	SP2	119.34	120.74	1.4	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	non sono:	non sono:	non sono
52	SP2	120.74	123.4	2.66	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	12	sì è già passata proprio un sé o più di un secolo	sì è già passata proprio un sé o più di un secolo	sì è già passata proprio un sé o più di un secolo
53	SP1	123.5	126.23	2.73	True	0	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0	6	mh ma (.) hai studiato da sol[o:]	mh ma {P} hai studiato da sol[o:]	mh ma {P} hai studiato da solo
54	SP2	126.1	129.76	3.66	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	14	[no] non è che hai studiato da solo che ho fatto anche superiore qui	[no] non è che hai studiato da solo che ho fatto anche superiore qui	no non è che hai studiato da solo che ho fatto anche superiore qui
55	SP1	130.62	131.22	0.6	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	ah ok	ah ok	ah ok
56	SP1	131.22	132.96	1.74	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	quindi sei- sei giovanissimo	quindi sei- sei giovanissimo	quindi sei- sei giovanissimo
57	SP2	133.43	134.1	0.67	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	sì	sì	sì
58	SP1	134.19	138.66	4.67	True	0	0	0	0	0	0	2	False	False	False	False	False	_	1	0	0	10	giovanissimo perché io (.) non voglio chiedere [l'età perché non]	giovanissimo perché io {P} non voglio chiedere [l'età perché non]	giovanissimo perché io {P} non voglio chiedere l' età perché non
59	SP2	137.7	138.52	0.82	True	0	0	0	0	0	0	0	False	False	False	False	True	58=0.820	0	0	0	1	giusto	giusto	giusto
60	SP2	138.74	140.04	1.3	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	6	no no assolutamente [non deve chiedere]	no no assolutamente [non deve chiedere]	no no assolutamente non deve chiedere
61	SP1	139.35	141.52	2.17	True	0	0	1	0	0	0	0	False	False	False	False	False	_	0	0	0	7	[però] sei andato a scuola qui quindi	[pero'] sei andato a scuola qui quindi	pero' sei andato a scuola qui quindi
62	SP2	141.9	142.12	0.22	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	sì	sì	sì
63	SP1	142.2	143.02	0.82	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	che scuola hai fatto	che scuola hai fatto	che scuola hai fatto
64	SP1	143.16	145.73	2.57	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	14	perché anch'io sono andata a scuola qui un po' di anni fa ma	perché anch'io sono andata a scuola qui un po' di anni fa ma	perché anch' io sono andata a scuola qui un po' di anni fa ma
65	SP2	145.73	150.54	4.81	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	8	esattamente primo e:h ho andato il: manfredi tanari	esattamente primo e:h ho andato il: manfredi tanari	esattamente primo eh ho andato il manfredi tanari
66	SP1	150.56	150.98	0.42	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	okay	okay	okay
67	SP2	151.34	159.4	8.06	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	18	che per la lingua che non ho riuscito: a passare e poi: e:h ci avevo trasferito in fioravanti	che per la lingua che non ho riuscito: a passare e poi: e:h ci avevo trasferito in fioravanti	che per la lingua che non ho riuscito a passare e poi eh ci avevo trasferito in fioravanti
68	SP1	159.54	159.86	0.32	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	ok	ok	ok
69	SP2	160.1	161.20000000000002	1.2	True	0	0	0	0	0	0	1	False	False	False	False	False	_	0	0	0	4	adesso è belluzzi fioravanti	adesso è belluzzi fioravanti	adesso è belluzzi fioravanti
70	SP1	161.28	161.6	0.32	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	mh mh	mh mh	mh mh
71	SP2	161.6	164.0	2.4	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	8	no quando ero fatto era solo il fioravanti	no quando ero fatto era solo il fioravanti	no quando ero fatto era solo il fioravanti
72	SP1	164.03	166.28	2.25	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	11	mh mh ok e che indirizzo ha che non lo so	mh mh ok e che indirizzo ha che non lo so	mh mh ok e che indirizzo ha che non lo so
73	SP2	166.64	171.47	4.83	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	9	no era: boh cioè adesso mi sembrava di: casalecchio	no era: boh cioè adesso mi sembrava di: casalecchio	no era boh cioè adesso mi sembrava di casalecchio
74	SP1	172.09	174.66	2.57	True	1	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	7	ok ok ok [ok ok]  ho capito	ok ok ok [ok ok] ho capito	ok ok ok ok ok ho capito
75	SP2	172.76	173.74	0.98	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	[vellosi fioravanti]	[vellosi fioravanti]	vellosi fioravanti
76	SP1	175.04	177.48	2.44	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	8	[e che] che cosa si studia al (bell[uzzi)]	[e che] che cosa si studia al (bell[uzzi)]	e che che cosa si studia al belluzzi
77	SP2	175.11	175.47	0.36	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	[sì]	[sì]	sì
78	SP2	177.05	177.52	0.47	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	[te]cnico	[te]cnico	tecnico
79	SP1	177.52	178.04	0.52	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	tecni[co]?	tecni[co]?	tecnico
80	SP2	177.88	178.28	0.4	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	[te]cnico	[te]cnico	tecnico
81	SP1	178.36	182.26	3.9	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	6	e [di] e- elettrico elettroni[ca? informatica]?	e [di] e- elettrico elettroni[ca? informatica]?	e di e- elettrico elettronica informatica
82	SP2	178.85	179.39	0.54	True	0	0	0	0	0	0	0	False	False	False	False	True	81=0.540	0	0	0	1	professionale	professionale	professionale
83	SP2	180.63	182.27	1.64	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	[no e:h là ero]	[no e:h là ero]	no eh là ero
84	SP2	182.28	189.06	6.78	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	1	12	no sì perché ci sono di informatica e:h meccanica e idraulica con auto-meccanica	no sì perché ci sono di informatica e:h meccanica e idraulica con auto-meccanica	no sì perché ci sono di informatica eh meccanica e idraulica con auto-meccanica
85	SP1	189.06	189.6	0.54	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	3	mh mh ok	mh mh ok	mh mh ok
86	SP2	189.61	192.38	2.77	True	1	0	0	0	0	0	0	False	False	False	False	False	_	0	0	1	6	è fatta ele- cioè  auto-meccanico con idraulica	è fatta ele- cioè auto-meccanico con idraulica	è fatta ele- cioè auto-meccanico con idraulica
87	SP1	192.38	195.02	2.64	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	12	mh mh e quando hai finito di studiare sei venuto a lavorare	mh mh e quando hai finito di studiare sei venuto a lavorare	mh mh e quando hai finito di studiare sei venuto a lavorare
88	SP2	195.1	200.08	4.98	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	12	no ero cercato il lavoro che: di varie parti dell'officina: per	no ero cercato il lavoro che: di varie parti dell'officina: per	no ero cercato il lavoro che di varie parti dell' officina per
89	SP2	200.4	203.52	3.12	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	11	officina di auto assolutamente non il moto era officina di auto	officina di auto assolutamente non il moto era officina di auto	officina di auto assolutamente non il moto era officina di auto
90	SP1	203.52	204.2	0.68	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	mh mh mh mh	mh mh mh mh	mh mh mh mh
91	SP2	204.2	212.28	8.08	True	0	0	2	0	0	0	0	False	False	False	False	False	_	0	0	0	22	però e:h visto che: il settore ci sono un sacco di lavoro però e:h non ho trovato il punto come ero cercavo	pero' e:h visto che: il settore ci sono un sacco di lavoro pero' e:h non ho trovato il punto come ero cercavo	pero' eh visto che il settore ci sono un sacco di lavoro pero' eh non ho trovato il punto come ero cercavo
92	SP2	213.21	218.03	4.82	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	16	poi ho ri- cercato d'altra parte dove ho trovato c'è rientrato perché in [lavorare]	poi ho ri- cercato d'altra parte dove ho trovato c'è rientrato perché in [lavorare]	poi ho ri- cercato d' altra parte dove ho trovato c' è rientrato perché in lavorare
93	SP1	216.79	219.77	2.98	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	9	[sì sì sì ce]rtamente è importante [sì sì] sì	[sì sì sì ce]rtamente è importante [sì sì] sì	sì sì sì certamente è importante sì sì sì
94	SP2	219.43	219.71	0.28	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	[sì]	[sì]	sì
95	SP1	219.89	221.96	2.07	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	7	E quindi vivere a bologna ti piace?	E quindi vivere a bologna ti piace?	e quindi vivere a bologna ti piace
96	SP2	222.36	227.08	4.72	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	1	12	assolutamente assolutamente ma il problema è che non tr-trovi a casa in bologna	assolutamente assolutamente ma il problema è che non tr-trovi a casa in bologna	assolutamente assolutamente ma il problema è che non tr-trovi a casa in bologna
97	SP2	228.26	229.48	1.22	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	3	[è una fon]damentale	[è una fon]damentale	è una fondamentale
98	SP1	228.26	228.85	0.59	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	3	[ce lo sta-]	[ce lo sta-]	ce lo sta-
99	SP1	229.5	231.0	1.5	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	1	0	5	ce lo stanno dicendo [tutti] ((ride))	ce lo stanno dicendo [tutti] {ride}	ce lo stanno dicendo tutti {ride}
100	SP2	230.56	232.66	2.1	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	7	[non è] che solo in bologna anche	[non è] che solo in bologna anche	non è che solo in bologna anche
101	SP2	232.66	238.08	5.42	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	15	guarda che settimana di scorso ho visto un intervento da: un proprio giornalista della firenze	guarda che settimana di scorso ho visto un intervento da: un proprio giornalista della firenze	guarda che settimana di scorso ho visto un intervento da un proprio giornalista della firenze
102	SP2	238.56	239.76	1.2	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	è lo stesso problema	è lo stesso problema	è lo stesso problema
103	SP2	240.77	241.67	0.9	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	3	lo stesso pro[blema]	lo stesso pro[blema]	lo stesso problema
104	SP1	241.36	241.67	0.31	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	[mh mh]	[mh mh]	mh mh
105	SP2	241.67	245.58	3.91	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	12	Cioè poi bologna non è che è iniziato questo problema da oggi	Cioè poi bologna non è che è iniziato questo problema da oggi	cioè poi bologna non è che è iniziato questo problema da oggi
106	SP2	245.97	256.71	10.84	True	0	0	0	0	0	0	1	False	False	False	False	False	_	0	0	0	31	e se tu parli se tu chiedi una persona da anziana che è finita di studiare cioè come straniero come me come straniero significa che sei venuto da un'altra città	e se tu parli se tu chiedi una persona da anziana che è finita di studiare cioè come straniero come me come straniero significa che sei venuto da un'altra città	e se tu parli se tu chiedi una persona da anziana che è finita di studiare cioè come straniero come me come straniero significa che sei venuto da un' altra città
107	SP1	256.8	257.48	0.68	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	mh mh	mh mh	mh mh
108	SP2	257.57000000000005	259.16	1.69	True	0	0	0	0	0	0	1	False	False	False	False	False	_	0	0	0	4	tipo anche napoli è	tipo anche napoli è	tipo anche napoli è
109	SP2	259.16	265.76	6.6	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	17	giù parliamo anche Roma guarda che se chiedi che quanti anni sei- sei in bologna tra parentesi	giù parliamo anche Roma guarda che se chiedi che quanti anni sei- sei in bologna tra parentesi	giù parliamo anche roma guarda che se chiedi che quanti anni sei- sei in bologna tra parentesi
110	SP2	265.76	268.41	2.65	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	8	dici guarda che io ho- ho laureato qui	dici guarda che io ho- ho laureato qui	dici guarda che io ho- ho laureato qui
111	SP1	268.44	269.07	0.63	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	mh mh	mh mh	mh mh
112	SP2	269.09	274.34	5.25	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	13	e ti raccolta la storia come era prima e trattava come: come straniero	e ti raccolta la storia come era prima e trattava come: come straniero	e ti raccolta la storia come era prima e trattava come come straniero
113	SP2	274.34	276.96	2.62	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	11	cioè non te- non da la casa non c'è proprio	cioè non te- non da la casa non c'è proprio	cioè non te- non da la casa non c' è proprio
114	SP2	277.89	283.86	5.97	True	1	1	0	0	0	0	0	False	False	False	False	False	_	0	0	0	18	era il bologna ha questa storia [da: ]da storia [c'è proprio] da 100 anni mi sembrava ancora più	era il bologna ha questa storia [da:]da storia [c'è proprio] da cento anni mi sembrava ancora più	era il bologna ha questa storia dada storia c' è proprio da cento anni mi sembrava ancora più
115	SP1	280.12	280.85	0.73	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	[è vecchia]	[è vecchia]	è vecchia
116	SP1	281.44	282.14	0.7	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	3	[sì sì sì]	[sì sì sì]	sì sì sì
117	SP1	283.86	285.08	1.22	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	5	sì è possibile [sì] sì	sì è possibile [sì] sì	sì è possibile sì sì
118	SP2	284.24	284.97	0.73	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	1	0	1	((ride)) [sì]	{ride} [sì]	{ride} sì
119	SP1	285.08	288.41	3.33	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	15	non so se tu hai avuto problemi a trovare casa perché anche lei [all'inizio]	non so se tu hai avuto problemi a trovare casa perché anche lei [all'inizio]	non so se tu hai avuto problemi a trovare casa perché anche lei all' inizio
120	SP2	288.06	292.12	4.06	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	13	[tutti qu]anti guarda che un'utile faile a questa domanda è tutti quanti	[tutti qu]anti guarda che un'utile faile a questa domanda è tutti quanti	tutti quanti guarda che un' utile faile a questa domanda è tutti quanti
121	SP2	292.89	293.56	0.67	True	0	0	0	0	0	0	0	False	False	False	False	True	122=0.180	0	0	0	2	tutti quanti	tutti quanti	tutti quanti
122	SP1	293.38	293.9	0.52	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	[mh] mh	[mh] mh	mh mh
123	SP1	293.92	294.94	1.02	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	5	e c'è stato qualche:	e c'è stato qualche:	e c' è stato qualche
124	SP2	295.04	301.8	6.76	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	17	Che hanno soldi e compra aff- cioè appartamento per il Figli: per mandare in bologna per studiare	Che hanno soldi e compra aff- cioè appartamento per il Figli: per mandare in bologna per studiare	che hanno soldi e compra aff- cioè appartamento per il figli per mandare in bologna per studiare
125	SP1	301.82	302.4	0.58	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	mh mh	mh mh	mh mh
126	SP1	302.44	303.37	0.93	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	5	che è l'unico modo	che è l'unico modo	che è l' unico modo
127	SP2	303.38	304.01	0.73	True	0	0	0	0	0	0	1	False	False	False	False	False	_	0	0	0	4	è l'unico modo	è l'unico modo	è l' unico modo
128	SP1	304.1	304.51	0.41	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	sì sì	sì sì	sì sì
129	SP1	304.8	305.08	0.28	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	p-	p-	p-
