tu_id	speaker	start	end	duration	include	W:normalized_spaces	W:numbers	W:accents	W:non_jefferson	W:pauses_trim	W:prosodic_trim	E:volume	E:pace	E:guess	E:overlap	E:overlap_mismatch	E:overlap_duration	T:shortpauses	T:metalinguistic	T:errors	T:linguistic	annotation	correct	text
50	SP1	123.5	126.099	2.599	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	6	mh ma hai studiato da solo:	mh ma hai studiato da solo:	mh ma hai studiato da solo
51	SP2	126.213	129.76	3.547	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	17	no ceh no non è che hai studiato da solo è che ho fatto anche superiore qui	no ceh no non è che hai studiato da solo è che ho fatto anche superiore qui	no ceh no non è che hai studiato da solo è che ho fatto anche superiore qui
52	SP1	130.62	133.092	2.472	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	6	a:h ok quindi sei sei giovanissim[o]	a:h ok quindi sei sei giovanissim[o]	ah ok quindi sei sei giovanissimo
53	SP2	133.012	133.372	0.36	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	[s]ì	[s]ì	sì
54	SP2	133.648	133.897	0.249	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	sì	sì	sì
55	SP1	133.901	138.76	4.859	True	0	0	0	0	0	0	False	False	False	False	False	_	1	0	1	11	giovanissimo perché io (.) no- non voglio chiedere [l'età] che sta perché non	giovanissimo perché io {P} no- non voglio chiedere [l'età] che sta perché non	giovanissimo perché io {P} no- non voglio chiedere l'età che sta perché non
56	SP2	137.741	138.062	0.321	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	[giusto]	[giusto]	giusto
57	SP2	138.78	140.04	1.26	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	5	no no assolutament[e deve chiedere]	no no assolutament[e deve chiedere]	no no assolutamente deve chiedere
58	SP1	139.379	141.669	2.29	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	8	[però e] sei andato a scuola qui quindi	[però e] sei andato a scuola qui quindi	però e sei andato a scuola qui quindi
59	SP2	141.9	142.12	0.22	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	sì	sì	sì
60	SP1	142.2	143.02	0.82	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	che scuola hai fatto?	che scuola hai fatto?	che scuola hai fatto
61	SP1	143.16	145.73	2.57	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	1	12	perché anch'io sono andata a scuola qui un po' di anni fa ma	perché anch'io sono andata a scuola qui un po' di anni fa ma	perché anch'io sono andata a scuola qui un po' di anni fa ma
62	SP2	145.73	150.54	4.81	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	9	esattamente primo e:h è andato il mh manfredi tanari	esattamente primo e:h è andato il mh manfredi tanari	esattamente primo eh è andato il mh manfredi tanari
63	SP1	150.56	150.98	0.42	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	ok	ok	ok
64	SP2	151.34	159.4	8.06	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	1	13	che per la lingua che non ho riuscito: passare poi: c'avevo trasferito in fioravanti	che per la lingua che non ho riuscito: passare poi: c'avevo trasferito in fioravanti	che per la lingua che non ho riuscito passare poi c'avevo trasferito in fioravanti
65	SP1	159.593	159.895	0.302	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	ok	ok	ok
66	SP2	160.1	161.3	1.2	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	adesso è belluzzi fioravanti	adesso è belluzzi fioravanti	adesso è belluzzi fioravanti
67	SP2	161.6	164.411	2.811	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	8	quando era fatta era era solo il fiorava[nti]	quando era fatta era era solo il fiorava[nti]	quando era fatta era era solo il fioravanti
68	SP1	164.138	164.407	0.269	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	[mhmh]	[mhmh]	mhmh
69	SP1	164.44	166.28	1.84	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	9	okay e che indirizzo ha che non lo so?	okay e che indirizzo ha che non lo so?	okay e che indirizzo ha che non lo so
70	SP2	166.64	171.46	4.82	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	10	no era boh ceh adesso mi sembrava di mh casalecchio	no era boh ceh adesso mi sembrava di mh casalecchio	no era boh ceh adesso mi sembrava di mh casalecchio
71	SP1	172.128	173.105	0.977	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	okay [okay]	okay [okay]	okay okay
72	SP2	172.561	174.002	1.441	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	3	[di belluzzi] fiora[vanti]	[di belluzzi] fiora[vanti]	di belluzzi fioravanti
73	SP1	173.46	174.002	0.542	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	[okay okay]	[okay okay]	okay okay
74	SP1	174.08	174.66	0.58	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	ho capito	ho capito	ho capito
75	SP1	175.04	177.46	2.42	True	0	0	0	0	0	0	False	False	False	False	True	76=0.228,77=0.473	0	0	0	9	e [che] che cosa si studia al mh belluzzi?	e [che] che cosa si studia al mh belluzzi?	e che che cosa si studia al mh belluzzi
76	SP2	175.204	175.432	0.228	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	[sì]	[sì]	sì
77	SP2	176.867	177.34	0.473	True	0	0	0	0	0	0	False	False	False	False	True	75=0.473	0	0	0	1	tecnico	tecnico	tecnico
78	SP1	177.542	177.951	0.409	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	tecnico?	tecnico?	tecnico
79	SP1	178.411	178.801	0.39	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	e:h	e:h	eh
80	SP1	179.945	182.167	2.222	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	3	elettrica elettroni[ca informatica]	elettrica elettroni[ca informatica]	elettrica elettronica informatica
81	SP2	180.789	189.325	8.536	True	1	0	0	0	0	0	False	False	False	False	False	_	0	0	1	16	[no eh là erava-] no eh  sì perché ci sono di informatica meccanica e idraulica con auto-mecca[nica]	[no eh là erava-] no eh sì perché ci sono di informatica meccanica e idraulica con auto-mecca[nica]	no eh là erava- no eh sì perché ci sono di informatica meccanica e idraulica con auto-meccanica
82	SP1	188.918	189.688	0.77	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	[mhmh] okay	[mhmh] okay	mhmh okay
83	SP2	189.7	192.491	2.791	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	1	7	e ha fatta il >cioè< auto-meccanico con idraul[ica]	e ha fatta il >cioè< auto-meccanico con idraul[ica]	e ha fatta il cioè auto-meccanico con idraulica
84	SP1	192.226	195.428	3.202	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	12	[mhmh]mh e quando hai finito di studiare sei venuto a lavorare: [subi-]	[mhmh]mh e quando hai finito di studiare sei venuto a lavorare: [subi-]	mhmhmh e quando hai finito di studiare sei venuto a lavorare subi-
85	SP2	195.006	203.52	8.514	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	1	21	[no] ero cercato il lavoro che di varie parti dell'officina per officina di auto assolutamente non il moto era officina di auto	[no] ero cercato il lavoro che di varie parti dell'officina per officina di auto assolutamente non il moto era officina di auto	no ero cercato il lavoro che di varie parti dell'officina per officina di auto assolutamente non il moto era officina di auto
