match	id_A	token_A	id_B	token_B
0	21-2	è	19-3	è
1	_	_	19-4	trecento
1	_	_	19-5	cinquantacinque
2	21-3	trecentocinquantamila	19-6	mila
0	21-4	persone	19-7	persone
1	_	_	19-8	eh
1	_	_	19-9	{ride}
1	_	_	20-0	da
1	_	_	20-1	trecento
2	22-0	beh	20-2	cinquanta
2	22-1	trecentocinquantamila	20-3	mila
0	22-2	ma	20-4	ma
0	22-3	devo	20-5	devo
0	22-4	essere	20-6	essere
0	22-5	quanto	20-7	quanto
0	22-6	grande	20-8	grande
0	22-7	bologna	20-9	bologna
1	23-0	eh	_	_
1	23-1	{ride}	_	_
0	24-0	non	21-0	non
0	24-1	so	21-1	so
0	24-2	di	21-2	di
2	24-3	kilometri	21-3	chilometri
0	24-4	quadrati	21-4	quadrati
0	24-5	però	21-5	però
1	_	_	21-6	{P}
1	_	_	21-7	{ride}
0	25-0	decisamente	21-8	decisamente
0	25-1	più	21-9	più
0	25-2	grande	21-10	grande
1	_	_	21-11	di
1	_	_	21-12	bologna
0	25-3	ma	21-13	ma
0	25-4	infatti	21-14	infatti
1	25-5	eh	_	_
0	25-6	mi	21-15	mi
0	25-7	sembrava	21-16	sembrava
0	25-8	impossibile	21-17	impossibile
0	25-9	ma	21-18	ma
0	25-10	il	21-19	il
0	25-11	ragazzo	21-20	ragazzo
0	25-12	ieri	21-21	ieri
0	25-13	insisteva	21-22	insisteva
1	25-14	{P}	_	_
2	25-15	infa-	21-23	e
2	26-0	no	21-24	ancora
0	27-0	e	22-0	e
0	27-1	guarda	22-1	guarda
0	27-2	che	22-2	che
2	27-3	bologna	22-3	bolognia
0	27-4	è	22-4	è
1	_	_	22-5	cento
1	_	_	22-6	quattr-
2	27-5	centoqua-	22-7	cento
2	27-6	centoquaranta	22-8	quaranta
0	28-0	eh	23-0	eh
1	28-1	{P}	_	_
0	28-2	sì	23-1	sì
1	_	_	24-0	cento
2	29-0	centoquaranta	24-1	quaranta
0	29-1	virgola	24-2	virgola
0	29-2	nove	24-3	nove
2	29-3	kilometri	24-4	chilometri
0	29-4	quadrati	24-5	quadrati
0	29-5	che	24-6	che
0	29-6	se	24-7	se
0	29-7	parliamo	24-8	parliamo
0	29-8	fino	24-9	fino
0	29-9	a	24-10	a
0	30-0	da	24-11	da
2	30-1	mh	24-12	am
0	30-2	dove	24-13	dove
0	30-3	di	24-14	di
0	30-4	pilastro	24-15	pilastro
1	30-5	fino	_	_
1	30-6	a	_	_
2	30-7	di	25-0	m
2	31-0	mhmh	25-1	m
0	32-0	fino	26-0	fino
0	32-1	a	26-1	a
0	32-2	di	26-2	di
2	32-3	mh	26-3	m
0	33-0	tipo	27-0	tipo
0	33-1	casalecchio	27-1	casalecchio
1	_	_	27-2	e
0	33-2	la	27-3	la
0	33-3	barca	27-4	barca
1	_	_	27-5	sì
1	_	_	27-6	sì
2	33-4	x	27-7	sì
0	34-0	sì	28-0	sì
2	35-0	x	28-1	{P}
0	36-0	sì	28-2	sì
0	36-1	proprio	28-3	proprio
0	36-2	sì	28-4	sì
0	36-3	casalecchio	28-5	casalecchio
1	37-0	sì	_	_
0	37-1	sì	29-0	sì
0	37-2	sì	29-1	sì
0	37-3	sì	29-2	sì
2	38-0	sì	30-0	tipo
0	38-1	proprio	30-1	proprio
0	38-2	il	30-2	il
0	38-3	quadrato	30-3	quadrato
0	38-4	di	30-4	di
0	38-5	dentro	30-5	dentro
0	38-6	c'	30-6	c'
2	38-7	è	30-7	ha
0	38-8	proprio	30-8	proprio
1	38-9	quelle	_	_
2	38-10	che	30-9	quel
2	38-11	le-	30-10	chel
2	39-0	mh	30-11	m
2	39-1	quelle	30-12	quel
0	39-2	che	30-13	che
0	39-3	comune	30-14	comune
0	39-4	di	30-15	di
0	39-5	bologna	30-16	bologna
1	39-6	{P}	_	_
0	39-7	esempio	30-17	esempio
1	_	_	31-0	m
2	40-0	mhmh	31-1	m
0	41-0	però	32-0	però
1	41-1	è	_	_
2	41-2	f-	32-1	ef
0	41-3	non	32-2	non
0	41-4	è	32-3	è
0	41-5	il	32-4	il
0	41-6	fuori	32-5	fuori
0	41-7	che	32-6	che
0	41-8	hanno	32-7	hanno
0	41-9	contato	32-8	contato
2	41-10	cioè	32-9	ceh
0	41-11	proprio	32-10	proprio
0	41-12	la	32-11	la
0	41-13	città	32-12	città
0	41-14	e	32-13	e
0	41-15	il	32-14	il
0	41-16	capitale	32-15	capitale
0	41-17	che	32-16	che
2	41-18	hanno	32-17	entrata
2	41-19	entrato	32-18	c'
2	41-20	cioè	32-19	è
0	41-21	proprio	32-20	proprio
0	42-0	sì	33-0	sì
0	42-1	sì	33-1	sì
0	42-2	certo	33-2	certo
1	42-3	{P}	_	_
0	42-4	sì	34-0	sì
0	42-5	sì	34-1	sì
0	42-6	sì	34-2	sì
0	43-0	sì	35-0	sì
0	43-1	sì	35-1	sì
0	43-2	certo	35-2	certo
0	43-3	no	35-3	no
0	43-4	ma	35-4	ma
0	43-5	io-	35-5	io-
0	43-6	a	35-6	a
0	43-7	me	35-7	me
1	43-8	mi	_	_
0	43-9	sembrava	35-8	sembrava
2	43-10	impossibile	35-9	inpossibile
0	43-11	che	35-10	che
0	43-12	una	35-11	una
0	43-13	città	35-12	città
0	43-14	italiana	35-13	italiana
0	43-15	neanche	35-14	neanche
0	43-16	la	35-15	la
0	43-17	capitale	35-16	capitale
0	43-18	fosse	35-17	fosse
0	43-19	grande	35-18	grande
0	43-20	come	35-19	come
0	43-21	la	35-20	la
1	43-22	capita-	_	_
2	43-23	{ride}	35-21	capitale
2	44-0	mh	36-0	mm
0	45-0	beh	37-0	beh
0	45-1	no	37-1	no
0	45-2	è	37-2	è
0	45-3	come	37-3	come
1	45-4	è	_	_
2	45-5	più	37-4	più-
0	45-6	g-	37-5	g-
1	45-7	cioè	_	_
2	45-8	è	37-6	ce
0	45-9	come	37-7	come
0	45-10	grande	37-8	grande
0	45-11	della	37-9	della
0	45-12	venezia	37-10	venezia
0	45-13	che	37-11	che
0	45-14	venezia	37-12	venezia
0	45-15	è	37-13	è
0	45-16	una	37-14	una
0	45-17	città	37-15	città
0	45-18	bella	37-16	bella
0	45-19	grande	37-17	grande
1	_	_	37-18	quattrocento
1	_	_	37-19	quatto-
2	45-20	quattrocentoquatto-	37-20	e
2	45-21	eh	37-21	quattrocento
2	45-22	quattrocentoquattordici	37-22	quattordici
0	45-23	metri	37-23	metri
0	45-24	quadrati	37-24	quadrati
2	46-0	guarda	38-0	ma
0	46-1	che	38-1	che
1	46-2	s-	_	_
2	46-3	mh	38-2	em
0	46-4	perché	38-3	perché
0	46-5	conteranno	38-4	conteranno
0	46-6	tutta	38-5	tutta
0	46-7	la	38-6	la
0	46-8	provincia	38-7	provincia
0	46-9	perché	38-8	perché
0	46-10	venezia	38-9	venezia
0	46-11	città	38-10	città
0	46-12	è	38-11	è
0	46-13	un'	38-12	un'
0	46-14	isoletta	38-13	isoletta
0	46-15	grande	38-14	grande
0	46-16	così	38-15	così
0	46-17	praticamente	38-16	praticamente
0	46-18	{ride}	38-17	{ride}
0	46-19	sì	38-18	sì
0	47-0	sì	39-0	sì
1	48-0	eh	_	_
0	48-1	eh	40-0	eh
0	48-2	assolutamente	40-1	assolutamente
1	48-3	{ride}	_	_
0	48-4	poi	40-2	poi
0	48-5	se	40-3	se
0	48-6	andiamo	40-4	andiamo
0	48-7	ancora	40-5	ancora
0	48-8	un	40-6	un
0	48-9	po'	40-7	po'
0	48-10	avanti	40-8	avanti
0	48-11	ci	40-9	ci
0	48-12	sono	40-10	sono
0	48-13	colli	40-11	colli
0	48-14	che	40-12	che
0	48-15	non	40-13	non
1	48-16	con-	_	_
0	48-17	non	40-14	non
0	48-18	contano	40-15	contano
0	48-19	neanche	40-16	neanche
0	49-0	no	41-0	no
0	49-1	no	41-1	no
1	49-2	infatti	_	_
0	49-3	infatti	41-2	infatti
0	49-4	no	41-3	no
0	49-5	ma	41-4	ma
0	49-6	mi	41-5	mi
0	49-7	sembrava	41-6	sembrava
0	49-8	strano	41-7	strano
0	49-9	infatti	41-8	infatti
0	49-10	ma	41-9	ma
1	50-0	sì	_	_
1	51-0	no	_	_
0	51-1	e	41-10	e
0	51-2	quindi	41-11	quindi
0	51-3	mi	41-12	mi
0	51-4	dicevi	41-13	dicevi
0	51-5	che	41-14	che
1	51-6	nella	_	_
1	51-7	{P}	_	_
0	51-8	nella	41-15	nella
0	51-9	zona	41-16	zona
0	51-10	della	41-17	della
0	51-11	tua	41-18	tua
0	51-12	famiglia	41-19	famiglia
0	51-13	ci	41-20	ci
0	51-14	sono	41-21	sono
0	51-15	delle	41-22	delle
2	51-16	ini-	41-23	iniz-
0	51-17	delle	41-24	delle
0	51-18	iniziative	41-25	iniziative
0	51-19	culturali	41-26	culturali
0	51-20	delle	41-27	delle
1	_	_	42-0	sì
0	52-0	sì	43-0	sì
1	_	_	43-1	{P}
0	52-1	sì	43-2	sì
0	53-0	o	44-0	o
2	53-1	e	44-1	el
0	53-2	dei	44-2	dei
0	53-3	siti	44-3	siti
0	53-4	storici	44-4	storici
0	53-5	o	44-5	o
0	53-6	che	44-6	che
0	53-7	cosa	44-7	cosa
1	53-8	anche	_	_
2	53-9	o	44-8	ancheo
0	53-10	archeologici	44-9	archeologici
0	54-0	ma	45-0	ma
0	54-1	adesso	45-1	adesso
1	_	_	45-2	guarda
1	_	_	45-3	che
2	54-2	uguale	45-4	sono
0	55-0	no	46-0	no
0	55-1	sì	46-1	sì
1	55-2	dei	_	_
1	55-3	si-	_	_
2	56-0	no	46-2	ves-
0	56-1	guarda	47-0	guarda
0	56-2	che	47-1	che
2	56-3	là	47-2	la
0	56-4	e	47-3	e
0	56-5	sì	47-4	sì
0	56-6	proprio	47-5	proprio
2	56-7	mh	47-6	m
0	56-8	ci	47-7	ci
0	56-9	sono	47-8	sono
0	56-10	la	47-9	la
0	56-11	città	47-10	città
1	56-12	un	_	_
1	56-13	po'	_	_
0	56-14	un	47-11	un
0	56-15	po'	47-12	po'
1	56-16	più	_	_
1	56-17	culturale	_	_
1	57-0	no	_	_
1	58-0	okay	_	_
0	58-1	un	47-13	un
0	58-2	po'	47-14	po'
0	58-3	più	47-15	più
2	58-4	culturale	47-16	acculturata
0	59-0	poi	47-17	poi
0	59-1	adesso	47-18	adesso
0	59-2	guarda	47-19	guarda
0	59-3	che	47-20	che
0	59-4	è	47-21	è
0	59-5	un	47-22	un
0	59-6	po'	47-23	po'
0	60-0	già	47-24	già
0	60-1	persa	47-25	persa
0	60-2	un	47-26	un
0	60-3	po'	47-27	po'
0	60-4	che	47-28	che
0	60-5	andava	47-29	andava
2	60-6	dice	47-30	di
2	60-7	a	47-31	ceh
0	60-8	vivere	47-32	vivere
0	60-9	la	47-33	la
0	60-10	città	47-34	città
0	60-11	che	47-35	che
0	60-12	adesso	47-36	adesso
0	60-13	tutti	47-37	tutti
0	60-14	quanti	47-38	quanti
0	60-15	che	47-39	che
0	60-16	sta	47-40	sta
0	60-17	perdendo	47-41	perdendo
1	60-18	il	_	_
0	60-19	lavoro	47-42	lavoro
1	60-20	e	_	_
1	60-21	questo	_	_
1	61-0	là	_	_
1	62-0	là	_	_
1	63-0	okay	_	_
2	63-1	{P}	47-43	è
2	63-2	ma	47-44	così
2	63-3	cioè	48-0	ok
2	64-0	sì	48-1	punto
2	64-1	{P}	48-2	un
2	64-2	cioè	48-3	po'
2	64-3	tutti	48-4	culturale
2	64-4	tutti	48-5	ok
2	64-5	adesso	49-0	la
2	64-6	tornando	50-0	là
2	64-7	come	51-0	ok
2	64-8	la	51-1	{P}
2	64-9	città	51-2	ma
0	64-10	c'	51-3	c'
0	64-11	è	51-4	è
1	64-12	andato	_	_
1	64-13	cioè	_	_
1	64-14	verso	_	_
1	64-15	la	_	_
1	64-16	città	_	_
1	64-17	per	_	_
1	64-18	vivere	_	_
1	64-19	lì	_	_
1	64-20	e	_	_
1	64-21	sì	_	_
